"","County_UD","% Persons with a disability aged 0-14","% Persons with a disability aged 15 - 44","% Persons with a disability aged 25 - 44","% Persons with a disability aged 45 - 64","% Persons with a disability aged 65 Plus"
"316","Cavan",3.8,1.3,7.6,27.8,59.5
"317","Cavan",5,5,15,25,50
"318","Cavan",0,0,6.7,1.3,92
"319","Cavan",0,45,15,15,25
"320","Cavan",3,5,1,12,79
"321","Cavan",10.3,7.7,30.8,25.6,25.6
"322","Cavan",12.5,6.3,43.8,12.5,25
"323","Cavan",13.6,9.1,18.2,40.9,18.2
"324","Cavan",0,0,2.4,15.5,82.1
"325","Cavan",32.4,8.8,23.5,26.5,8.8
"326","Cavan",6.7,6.7,40,20,26.7
"327","Cavan",11.6,4.7,25.6,25.6,32.6
"328","Cavan",20,0,40,40,0
"329","Cavan",0,50,50,0,0
"330","Cavan",14.3,28.6,33.3,23.8,0
"331","Cavan",3.7,0,22.2,25.9,48.1
"332","Cavan",13.7,13.7,19.6,43.1,9.8
"333","Cavan",3.3,0,6.7,21.7,68.3
"334","Cavan",9.5,19,42.9,19,9.5
"335","Cavan",1.9,13.2,22.6,50.9,11.3
"336","Cavan",11.9,6,20.2,35.7,26.2
"337","Cavan",19.2,7.7,34.6,26.9,11.5
"338","Cavan",0,25.9,33.3,22.2,18.5
"339","Cavan",19.6,10.9,26.1,30.4,13
"340","Cavan",8.7,10.1,14.5,47.8,18.8
"341","Cavan",4.9,2.4,22,36.6,34.1
"342","Cavan",9.1,13.6,13.6,36.4,27.3
"343","Cavan",0,5.3,13.2,39.5,42.1
"344","Cavan",0,0,8.8,23.5,67.6
"345","Cavan",3,9.1,30.3,21.2,36.4
"346","Cavan",5,7.5,15,35,37.5
"347","Cavan",0,11.8,47.1,17.6,23.5
"348","Cavan",2.9,8.6,14.3,25.7,48.6
"349","Cavan",6,10,22,28,34
"350","Cavan",5.7,11.4,5.7,28.6,48.6
"351","Cavan",0,8.6,37.1,40,14.3
"352","Cavan",6.1,3,24.2,24.2,42.4
"353","Cavan",6.1,6.1,36.4,27.3,24.2
"354","Cavan",3.8,11.5,23.1,38.5,23.1
"355","Cavan",15.4,7.7,53.8,15.4,7.7
"356","Cavan",15,10,20,45,10
"357","Cavan",0,2.9,11.4,31.4,54.3
"358","Cavan",4.5,4.5,36.4,31.8,22.7
"359","Cavan",9.1,0,9.1,27.3,54.5
"360","Cavan",6.3,4.2,16.7,41.7,31.3
"361","Cavan",6.9,8.6,15.5,46.6,22.4
"362","Cavan",3,18.2,18.2,21.2,39.4
"363","Cavan",0,0,13,30.4,56.5
"364","Cavan",6.5,6.5,16.1,25.8,45.2
"365","Cavan",10,10,23.3,23.3,33.3
"366","Cavan",19,4.8,28.6,28.6,19
"367","Cavan",0,0,41.2,23.5,35.3
"368","Cavan",16.7,12.5,12.5,37.5,20.8
"369","Cavan",7.7,23.1,7.7,23.1,38.5
"370","Cavan",11.8,0,20.6,29.4,38.2
"371","Cavan",8.1,5.4,21.6,27,37.8
"372","Cavan",20.7,0,41.4,13.8,24.1
"373","Cavan",11.5,7.7,7.7,50,23.1
"374","Cavan",0,7.7,19.2,38.5,34.6
"375","Cavan",10,10,12.5,32.5,35
"376","Cavan",12.9,3.2,29,41.9,12.9
"377","Cavan",5.9,0,17.6,23.5,52.9
"378","Cavan",0,0,11.1,33.3,55.6
"379","Cavan",4,4,16,40,36
"380","Cavan",5.3,5.3,10.5,42.1,36.8
